art_hist_1,art_hist_2,artist_or_period,"Does any relation 
exist between 
the two historians?","Is the relation recorded 
in at least one 
historian biography 
available on ARTchives?","Did they collaborate / interact 
on the period/artist at hand?","Is historian 2 relevant 
to historian 1's archive?","Is historian 2 mentioned 
as subject of historian 1's 
archive on ARTchives? ","Is historian 1 relevant 
to historian 2's archive?","Is historian 1 mentioned
 as subject of historian 2's 
archive on ARTchives? ","Is the relation recorded 
in both the 
historians' biographies 
available on ARTchives?"
Luigi Salerno,Fritz Heinemann,baroque,0,0,0,0,0,0,0,0
Luigi Salerno,Richard Krautheimer,baroque,1,0,,1,0,,0,0
Luigi Salerno,Ellis Waterhouse,baroque,1,0,1,1,0,0,0,0
Luigi Salerno,Julian Kliemann,baroque,0,0,,0,0,0,0,0
Luigi Salerno,Federico Zeri,baroque,1,0,,1,0,1,0,0
Luigi Salerno,Stefano Tumidei,baroque,0,0,0,0,0,0,0,0
Luigi Salerno,Fritz Heinemann,17th century,0,0,0,0,0,0,0,0
Luigi Salerno,Julian Kliemann,17th century,0,0,,0,0,0,0,0
Luigi Salerno,Federico Zeri,17th century,1,0,,1,0,1,0,0
Luigi Salerno,Stefano Tumidei,17th century,0,0,0,0,0,0,0,0
Luigi Salerno,Luisa Vertova,17th century,1,0,,1,0,0,0,0
Luigi Salerno,Stefano Tumidei,18th century,0,0,0,0,0,0,0,0
Luigi Salerno,Luisa Vertova,18th century,1,0,,1,0,0,0,0
Luigi Salerno,Federico Zeri,Caravaggio,1,0,,1,0,1,0,0
Luisa Vertova,Everett Fahy,renaissance,1,0,,0,0,0,0,0
Luisa Vertova,Aby Warburg,renaissance,0,0,0,0,0,0,0,0
Luisa Vertova,Fritz Heinemann,renaissance,1,0,,0,0,0,0,0
Luisa Vertova,Richard Krautheimer,renaissance,0,0,,0,0,,0,0
Luisa Vertova,John Pope-Hennessy,renaissance,1,0,1,,0,0,0,0
Luisa Vertova,Julian Kliemann,renaissance,0,0,,0,0,0,0,0
Luisa Vertova,Everett Fahy,15th century,1,0,,0,0,0,0,0
Luisa Vertova,Fritz Heinemann,15th century,1,0,,0,0,,0,0
Luisa Vertova,John Pope-Hennessy,15th century,1,0,1,,0,0,0,0
Luisa Vertova,Julian Kliemann,15th century,0,0,,0,0,0,0,0
Luisa Vertova,Everett Fahy,16th century,1,0,,0,0,0,0,0
Luisa Vertova,Fritz Heinemann,16th century,1,0,,0,0,,0,0
Luisa Vertova,Julian Kliemann,16th century,0,0,,0,0,0,0,0
Luisa Vertova,Fritz Heinemann,Titian,1,0,,0,0,,0,0
Luisa Vertova,Fritz Heinemann,17th century,1,0,,0,0,,0,0
Luisa Vertova,Julian Kliemann,17th century,0,0,,0,0,0,0,0
Otto Lehmann-Brockhaus,Ernst Kitzinger,middle ages,0,0,,,0,0,0,0
Richard Krautheimer,Ernst Kitzinger,byzantine art,1,1,,1,1,0,0,0
Richard Krautheimer,Ernst Kitzinger,early christian art and architecture,1,1,,1,1,0,0,0
Richard Krautheimer,Everett Fahy,renaissance,0,0,,,0,0,0,0
Richard Krautheimer,Aby Warburg,renaissance,1,0,,,0,,0,0
Richard Krautheimer,Fritz Heinemann,renaissance,0,0,,,0,0,0,0
Richard Krautheimer,Fritz Heinemann,baroque,0,0,,,0,0,0,0
Roberto Longhi,Everett Fahy,16th century,1,0,,,0,1,0,0
Roberto Longhi,Julian Kliemann,16th century,0,0,0,0,0,0,0,0
Roberto Longhi,Luisa Vertova,16th century,1,0,,,0,0,1,0
Roberto Longhi,Fritz Heinemann,16th century,1,0,,,0,,0,0
Roberto Longhi,Stefano Tumidei,16th century,1,1,,0,0,,0,0
Roberto Longhi,Gustav Ludwig,16th century,0,0,0,0,0,0,0,0
Roberto Longhi,Federico Zeri,16th century,1,1,1,1,1,1,1,0
Roberto Longhi,Kurt Badt,16th century,0,0,,,0,,0,0
Roberto Longhi,Fritz Heinemann,17th century,1,0,,,0,,0,0
Roberto Longhi,Julian Kliemann,17th century,0,0,0,0,0,0,0,0
Roberto Longhi,Luisa Vertova,17th century,1,0,,,0,0,1,0
Roberto Longhi,Federico Zeri,17th century,1,1,1,1,1,1,1,0
Roberto Longhi,Stefano Tumidei,17th century,1,1,,0,0,,0,0
Roberto Longhi,Luigi Salerno,17th century,1,0,1,,0,1,0,0
Roberto Longhi,Julius S. Held,17th century,1,0,,,0,1,0,0
Roberto Longhi,Everett Fahy,14th century,1,0,1,,0,1,0,0
Roberto Longhi,Federico Zeri,15th century,1,1,1,1,1,1,1,0
Roberto Longhi,Fritz Heinemann,15th century,1,0,1,,0,,0,0
Roberto Longhi,Julian Kliemann,15th century,0,0,0,0,0,0,0,0
Roberto Longhi,Luisa Vertova,15th century,1,0,1,,0,0,1,0
Roberto Longhi,Stefano Tumidei,15th century,1,1,,0,0,,0,0
Roberto Longhi,Everett Fahy,15th century,1,0,1,,0,1,0,0
Roberto Longhi,John Pope-Hennessy,15th century,1,0,,,0,,0,0
Roberto Longhi,Gustav Ludwig,15th century,0,0,0,0,0,0,0,0
Roberto Longhi,Everett Fahy,renaissance,1,0,1,0,0,,0,0
Roberto Longhi,Aby Warburg,renaissance,1,0,0,,0,,0,0
Roberto Longhi,Fritz Heinemann,renaissance,1,0,1,,0,,0,0
Roberto Longhi,Richard Krautheimer,renaissance,1,0,,,0,,0,0
Roberto Longhi,John Pope-Hennessy,renaissance,1,0,,,0,,0,0
Roberto Longhi,Julian Kliemann,renaissance,0,0,0,0,0,0,0,0
Roberto Longhi,Luisa Vertova,renaissance,1,0,1,,0,0,1,0
Roberto Longhi,Federico Zeri,renaissance,1,1,1,1,1,1,1,0
Roberto Longhi,Stefano Tumidei,renaissance,1,1,,,0,,0,0
Roberto Longhi,Ernst Steinmann,renaissance,0,0,0,,0,,0,0
Roberto Longhi,Federico Zeri,Caravaggio,1,1,,1,1,1,1,0
Roberto Longhi,Luigi Salerno,Caravaggio,1,0,1,,0,1,0,0
Roberto Longhi,Fritz Heinemann,Vittore Carpaccio,1,0,,,0,,0,0
Roberto Longhi,Gustav Ludwig,Vittore Carpaccio,0,0,0,0,0,0,0,0
Roberto Longhi,Werner Cohn,Carlo Carrà,0,0,0,,0,,0,0
Stefano Tumidei,Everett Fahy,renaissance,1,0,,0,0,0,0,0
Stefano Tumidei,Aby Warburg,renaissance,0,0,0,0,0,0,0,0
Stefano Tumidei,Fritz Heinemann,renaissance,0,0,0,0,0,0,0,0
Stefano Tumidei,Richard Krautheimer,renaissance,0,0,0,0,0,0,0,0
Stefano Tumidei,John Pope-Hennessy,renaissance,0,0,0,0,0,0,0,0
Stefano Tumidei,Julian Kliemann,renaissance,0,0,0,0,0,0,0,0
Stefano Tumidei,Luisa Vertova,renaissance,1,0,0,0,0,0,0,0
Stefano Tumidei,Federico Zeri,renaissance,1,1,0,1,1,0,0,0
Stefano Tumidei,Everett Fahy,15th century,1,0,,0,0,0,0,0
Stefano Tumidei,Fritz Heinemann,15th century,0,0,0,0,0,0,0,0
Stefano Tumidei,John Pope-Hennessy,15th century,0,0,0,0,0,0,0,0
Stefano Tumidei,Julian Kliemann,15th century,0,0,0,0,0,0,0,0
Stefano Tumidei,Luisa Vertova,15th century,1,0,0,0,0,0,0,0
Stefano Tumidei,Federico Zeri,15th century,1,1,0,1,0,0,0,0
Stefano Tumidei,Gustav Ludwig,15th century,0,0,0,0,0,0,0,0
Stefano Tumidei,Everett Fahy,16th century,1,0,,0,0,0,0,0
Stefano Tumidei,Fritz Heinemann,16th century,0,0,0,0,0,0,0,0
Stefano Tumidei,Julian Kliemann,16th century,0,0,0,0,0,0,0,0
Stefano Tumidei,Luisa Vertova,16th century,1,0,0,0,0,0,0,0
Stefano Tumidei,Federico Zeri,16th century,1,1,,1,1,0,0,0
Stefano Tumidei,Gustav Ludwig,16th century,0,0,0,0,0,0,0,0
Stefano Tumidei,Fritz Heinemann,baroque,0,0,0,0,0,0,0,0
Stefano Tumidei,Richard Krautheimer,baroque,0,0,0,0,0,0,0,0
Stefano Tumidei,Julian Kliemann,baroque,0,0,0,0,0,0,0,0
Stefano Tumidei,Federico Zeri,baroque,1,1,0,1,1,0,0,0
Stefano Tumidei,Ellis Waterhouse,baroque,0,0,0,0,0,0,0,0
Stefano Tumidei,Fritz Heinemann,17th century,0,0,0,0,0,0,0,0
Stefano Tumidei,Julian Kliemann,17th century,0,0,0,0,0,0,0,0
Stefano Tumidei,Luisa Vertova,17th century,1,0,0,0,0,0,0,0
Stefano Tumidei,Federico Zeri,17th century,1,1,,1,0,0,0,0
Stefano Tumidei,Richard Krautheimer,Gian Lorenzo Bernini,0,0,0,0,0,0,0,0
Stefano Tumidei,Federico Zeri,Gian Lorenzo Bernini,1,1,0,1,1,0,0,0
Stefano Tumidei,Luisa Vertova,18th century,1,0,0,0,0,0,0,0
Stefano Tumidei,Luisa Vertova,neoclassicism,1,0,0,0,0,0,0,0
Ulrich Middeldorf,Everett Fahy,renaissance,1,0,,,1,0,0,0
Ulrich Middeldorf,Aby Warburg,renaissance,1,0,,,0,,0,0
Ulrich Middeldorf,Fritz Heinemann,renaissance,0,0,0,0,,,0,0
Ulrich Middeldorf,Richard Krautheimer,renaissance,1,0,1,0,0,,0,0
Ulrich Middeldorf,John Pope-Hennessy,renaissance,1,0,1,,0,0,0,0
Ulrich Middeldorf,Julian Kliemann,renaissance,0,0,0,0,0,0,0,0
Ulrich Middeldorf,Luisa Vertova,renaissance,1,0,1,0,0,0,0,0
Ulrich Middeldorf,Federico Zeri,renaissance,1,0,,,0,1,0,0
Ulrich Middeldorf,Stefano Tumidei,renaissance,0,0,0,0,0,0,0,0
Ulrich Middeldorf,Ernst Steinmann,renaissance,0,0,0,,0,,0,0
Ulrich Middeldorf,Leo Steinberg,renaissance,0,0,0,,0,0,0,0
Ulrich Middeldorf,Werner Cohn,renaissance,1,1,1,,0,1,0,0
Ulrich Middeldorf,John Pope-Hennessy,Italian Renaissance,1,0,1,,0,0,0,0
Werner Cohn,Ernst Kitzinger,middle ages,0,0,0,,0,0,0,0
Werner Cohn,Otto Lehmann-Brockhaus,middle ages,0,0,0,,0,,0,0
Werner Cohn,Federico Zeri,middle ages,1,0,,,0,0,0,0
Werner Cohn,Kurt Badt,middle ages,0,0,0,0,0,0,0,0
Werner Cohn,Federico Zeri,renaissance,1,0,,,0,0,0,0
Werner Cohn,Everett Fahy,renaissance,0,0,0,0,0,0,0,0
Werner Cohn,Aby Warburg,renaissance,1,0,,,0,,0,0
Werner Cohn,Fritz Heinemann,renaissance,0,0,0,,0,,0,0
Werner Cohn,Richard Krautheimer,renaissance,0,0,0,,0,,0,0
Werner Cohn,John Pope-Hennessy,renaissance,1,0,,,0,0,0,0
Werner Cohn,Julian Kliemann,renaissance,0,0,0,0,0,0,0,0
Werner Cohn,Luisa Vertova,renaissance,0,0,0,,0,0,0,0
Werner Cohn,Stefano Tumidei,renaissance,0,0,0,0,0,0,0,0
Werner Cohn,Ernst Steinmann,renaissance,0,0,0,0,0,,0,0
Werner Cohn,Leo Steinberg,renaissance,0,0,0,0,0,0,0,0
Werner Cohn,Richard Krautheimer,Lorenzo Ghiberti,0,0,0,0,0,,0,0
Wolfgang Lotz,Everett Fahy,renaissance,0,0,0,,0,0,0,0
Wolfgang Lotz,Aby Warburg,renaissance,0,0,0,0,0,0,0,0
Wolfgang Lotz,Fritz Heinemann,renaissance,0,0,0,0,0,,0,0
Wolfgang Lotz,Richard Krautheimer,renaissance,1,1,1,1,1,1,1,1
Wolfgang Lotz,John Pope-Hennessy,renaissance,1,0,1,,0,0,0,0
Wolfgang Lotz,Julian Kliemann,renaissance,1,0,,,0,0,0,0
Wolfgang Lotz,Luisa Vertova,renaissance,0,0,0,,0,0,0,0
