"art_hist","art_hist_uri","person","person_uri","weight"
"Wolfgang Lotz","<http://www.wikidata.org/entity/Q1296486>","Ernst Kantorowicz","<http://www.wikidata.org/entity/Q27144556>","3"
"Wolfgang Lotz","<http://www.wikidata.org/entity/Q1296486>","Herbert Einem","<http://www.wikidata.org/entity/Q1609365>","3"
"Wolfgang Lotz","<http://www.wikidata.org/entity/Q1296486>","Gert von der Osten","<http://www.wikidata.org/entity/Q1515397>","3"
"Wolfgang Lotz","<http://www.wikidata.org/entity/Q1296486>","Richard Krautheimer","<http://www.wikidata.org/entity/Q90407>","3"
"Wolfgang Lotz","<http://www.wikidata.org/entity/Q1296486>","Erwin Panofsky","<http://www.wikidata.org/entity/Q57656>","3"
"Gustav Ludwig","<http://www.wikidata.org/entity/Q41616785>","Ulrich Middeldorf","<http://www.wikidata.org/entity/Q1715096>","3"
"Gustav Ludwig","<http://www.wikidata.org/entity/Q41616785>","Georg Gronau","<http://www.wikidata.org/entity/Q19753875>","3"
"Gustav Ludwig","<http://www.wikidata.org/entity/Q41616785>","Detlev von Hadeln","<http://www.wikidata.org/entity/Q50914856>","3"
"Gustav Ludwig","<http://www.wikidata.org/entity/Q41616785>","Wilhelm von Bode","<http://www.wikidata.org/entity/Q64607>","3"
"Aby Warburg","<http://www.wikidata.org/entity/Q60185>","Federico Zeri","<http://www.wikidata.org/entity/Q1089074>","3"
"Luigi Salerno","<http://www.wikidata.org/entity/Q6700132>","Denis Mahon","<http://www.wikidata.org/entity/Q3705445>","3"
"Ernst Kitzinger","<http://www.wikidata.org/entity/Q88907>","Meyer Schapiro","<http://www.wikidata.org/entity/Q533444>","3"
"Ernst Kitzinger","<http://www.wikidata.org/entity/Q88907>","Philip Grierson","<http://www.wikidata.org/entity/Q3901455>","3"
"Werner Cohn","<http://www.wikidata.org/entity/Q18935222>","Thomas Mann","<http://www.wikidata.org/entity/Q37030>","3"
"Werner Cohn","<http://www.wikidata.org/entity/Q18935222>","Carlo Carrà","<http://www.wikidata.org/entity/Q168496>","3"
"Werner Cohn","<http://www.wikidata.org/entity/Q18935222>","Friedrich Nietzsche","<http://www.wikidata.org/entity/Q9358>","3"
"Werner Cohn","<http://www.wikidata.org/entity/Q18935222>","Mary Conazo","<http://www.wikidata.org/entity/Q168496>","3"
"Leo Steinberg","<http://www.wikidata.org/entity/Q457739>","Rudolf Wittkower","<http://www.wikidata.org/entity/Q215999>","3"
"Adolfo Venturi","<http://www.wikidata.org/entity/Q2824734>","Géza de Fràncovich","<http://www.wikidata.org/entity/Q19301518>","1"
"Adolfo Venturi","<http://www.wikidata.org/entity/Q2824734>","Pietro Toesca","<http://www.wikidata.org/entity/Q253864>","1"
"Adolfo Venturi","<http://www.wikidata.org/entity/Q2824734>","Carlo Anti","<http://www.wikidata.org/entity/Q3659000>","1"
"Federico Zeri","<http://www.wikidata.org/entity/Q1089074>","Pietro Toesca","<http://www.wikidata.org/entity/Q253864>","1"
